year,month,day,hour,wind_speed,air_temp
2023,06,01,21,7.6,14.2
2023,06,01,22,8.3,13.9
2023,06,01,23,7.4,13.6
2023,06,02,00,7.6,12.6
2023,06,02,01,6.9,12.0
2023,06,02,02,6.7,12.0
2023,06,02,03,6.1,12.1
2023,06,02,04,6.4,12.1
2023,06,02,05,9.3,12.4
2023,06,02,06,8.4,12.6
2023,06,02,07,10.7,12.5
2023,06,02,08,3.9,11.9
2023,06,02,09,4.7,17.4
2023,06,02,10,2.9,18.7
2023,06,02,11,1.9,18.1
2023,06,02,12,3.7,15.4
2023,06,02,13,4.3,13.7
2023,06,02,14,4.8,14.9
2023,06,02,15,5.9,12.2
2023,06,02,16,9.4,12.3
2023,06,02,17,9.5,12.2
2023,06,02,18,8.5,11.9
2023,06,02,19,9.8,11.9
2023,06,02,20,10.8,11.8
2023,06,02,21,14.7,11.7
2023,06,02,22,13.7,11.0
2023,06,02,23,11.8,10.7
2023,06,03,00,12.6,10.6
2023,06,03,01,14.3,10.1
2023,06,03,02,16.5,9.2
2023,06,03,03,13.2,8.9
2023,06,03,04,12.5,8.7
2023,06,03,05,12.0,8.6
2023,06,03,06,12.8,8.3
2023,06,03,07,15.3,7.2
2023,06,03,08,13.7,7.1
2023,06,03,09,14.1,7.4
2023,06,03,10,13.5,7.3
2023,06,03,11,13.8,7.2
2023,06,03,12,14.9,7.2
2023,06,03,13,13.8,7.3
2023,06,03,14,13.5,7.6
2023,06,03,15,15.5,7.6
2023,06,03,16,14.0,7.8
2023,06,03,17,14.2,7.7
2023,06,03,18,15.6,7.7
2023,06,03,19,13.1,7.8
2023,06,03,20,13.6,7.7
2023,06,03,21,15.8,7.3
2023,06,03,22,13.6,7.4
2023,06,03,23,13.8,7.0
2023,06,04,00,13.4,7.0
