#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 08 08 11 00 110  9.5 10.1 99.00 99.00 99.00 999 1010.9  15.3 999.0  15.3 99.0 99.00
2023 08 08 12 00 101 10.3 10.8 99.00 99.00 99.00 999 1010.1  15.5 999.0  15.5 99.0 99.00
2023 08 08 13 00 102 11.1 11.5 99.00 99.00 99.00 999 1009.4  15.7 999.0  15.7 99.0 99.00
2023 08 08 14 00 104  9.8 10.0 99.00 99.00 99.00 999 1009.0  15.7 999.0  15.7 99.0 99.00
2023 08 08 15 00 108 10.5 10.9 99.00 99.00 99.00 999 1008.3  15.7 999.0  15.7 99.0 99.00
2023 08 08 16 00 111 10.7 11.5 99.00 99.00 99.00 999 1007.5  15.9 999.0  15.6 99.0 99.00
2023 08 08 17 00 108 11.4 11.9 99.00 99.00 99.00 999 1006.8  15.9 999.0  15.9 99.0 99.00
2023 08 08 18 00 110 12.4 13.2 99.00 99.00 99.00 999 1006.1  15.8 999.0  15.8 99.0 99.00
2023 08 08 19 00 112 13.0 13.6 99.00 99.00 99.00 999 1004.7  16.1 999.0  16.1 99.0 99.00
2023 08 08 20 00 108 13.2 13.9 99.00 99.00 99.00 999 1003.7  16.3 999.0  16.3 99.0 99.00
2023 08 08 21 00 106 13.3 14.7 99.00 99.00 99.00 999 1002.3  16.3 999.0  16.3 99.0 99.00
2023 08 08 22 00 109 11.7 12.5 99.00 99.00 99.00 999 1001.5  16.5 999.0  16.5 99.0 99.00
2023 08 08 23 00 104 13.4 14.7 99.00 99.00 99.00 999 1000.1  16.2 999.0  16.2 99.0 99.00
2023 08 09 00 00 110 14.2 15.7 99.00 99.00 99.00 999  999.4  16.3 999.0  16.3 99.0 99.00
2023 08 09 01 00 112 13.8 14.9 99.00 99.00 99.00 999  998.8  15.5 999.0  15.5 99.0 99.00
2023 08 09 02 00 119 11.9 12.7 99.00 99.00 99.00 999  998.2  15.1 999.0  15.1 99.0 99.00
2023 08 09 03 00 142  9.3  9.6 99.00 99.00 99.00 999  997.3  16.2 999.0  16.2 99.0 99.00
2023 08 09 04 00 161  8.0  8.1 99.00 99.00 99.00 999  996.6  17.2 999.0  17.2 99.0 99.00
2023 08 09 05 00 152  7.5  7.8 99.00 99.00 99.00 999  995.9  16.6 999.0  16.6 99.0 99.00
2023 08 09 06 00 186  6.8  6.9 99.00 99.00 99.00 999  995.9  16.7 999.0  16.7 99.0 99.00
2023 08 09 07 00 235  2.4  2.4 99.00 99.00 99.00 999  995.5  14.9 999.0  14.9 99.0 99.00
2023 08 09 08 00 211  3.9  4.0 99.00 99.00 99.00 999  995.2  15.4 999.0  15.4 99.0 99.00
2023 08 09 09 00 273  6.8  7.1 99.00 99.00 99.00 999  995.8  13.5 999.0  13.5 99.0 99.00
2023 08 09 10 00 254  7.5  7.9 99.00 99.00 99.00 999  995.6  13.3 999.0  13.3 99.0 99.00
2023 08 09 11 00 260  7.1  7.7 99.00 99.00 99.00 999  996.2  13.9 999.0  13.9 99.0 99.00
2023 08 09 12 00 279  7.3  7.6 99.00 99.00 99.00 999  996.4  14.9 999.0  14.9 99.0 99.00
2023 08 09 13 00 244  7.0  7.2 99.00 99.00 99.00 999  996.8  13.9 999.0  13.9 99.0 99.00
2023 08 09 14 00 231  5.0  5.3 99.00 99.00 99.00 999  997.4  13.4 999.0  13.4 99.0 99.00
2023 08 09 15 00 244  7.3  7.6 99.00 99.00 99.00 999  997.7  14.7 999.0  14.7 99.0 99.00
2023 08 09 16 00 237  7.3  7.6 99.00 99.00 99.00 999  997.8  14.8 999.0  14.8 99.0 99.00
2023 08 09 17 00 243  6.9  7.3 99.00 99.00 99.00 999  998.0  15.0 999.0  15.0 99.0 99.00
2023 08 09 18 00 260  8.6  9.2 99.00 99.00 99.00 999  998.3  17.5 999.0  14.3 99.0 99.00
2023 08 09 19 00 272  9.3  9.6 99.00 99.00 99.00 999  998.2  18.4 999.0  13.5 99.0 99.00
